"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 15 17:06:14 GMT 2022","Fri Jul 15 17:06:16 GMT 2022","2327","","TestList","","TestList","TestNumberAndTrue","TestNumberAndTrue()",""
"passed","Fri Jul 15 17:06:16 GMT 2022","Fri Jul 15 17:06:18 GMT 2022","2464","","TestNameCards","","TestNameCards","TestNameCard","TestNameCard()",""
"passed","Fri Jul 15 17:06:26 GMT 2022","Fri Jul 15 17:06:28 GMT 2022","2323","","TestRadioButtons","","TestRadioButtons","TestGroupRadio","TestGroupRadio()",""
"passed","Fri Jul 15 17:06:08 GMT 2022","Fri Jul 15 17:06:11 GMT 2022","3595","","TestInputFields","","TestInputFields","TestSumValidNumbers","TestSumValidNumbers()",""
"passed","Fri Jul 15 17:06:04 GMT 2022","Fri Jul 15 17:06:08 GMT 2022","3771","","TestInputFields","","TestInputFields","TestSumInvalidNumbers","TestSumInvalidNumbers()",""
"passed","Fri Jul 15 17:06:28 GMT 2022","Fri Jul 15 17:06:30 GMT 2022","2552","","TestRadioButtons","","TestRadioButtons","TestRadio","TestRadio()",""
"passed","Fri Jul 15 17:06:23 GMT 2022","Fri Jul 15 17:06:26 GMT 2022","2360","","TestPagination","","TestPagination","TestPaging","TestPaging()",""
"passed","Fri Jul 15 17:06:30 GMT 2022","Fri Jul 15 17:06:34 GMT 2022","3357","","TestInputForm","","TestInputForm","TestingInputForm","TestingInputForm()",""
"passed","Fri Jul 15 17:06:11 GMT 2022","Fri Jul 15 17:06:14 GMT 2022","2282","","TestList","","TestList","TestNumber","TestNumber()",""
"passed","Fri Jul 15 17:05:40 GMT 2022","Fri Jul 15 17:06:04 GMT 2022","23604","","TestDownload","","TestDownload","TestDownloadProcess","TestDownloadProcess()",""
"passed","Fri Jul 15 17:06:18 GMT 2022","Fri Jul 15 17:06:21 GMT 2022","2272","","TestAlertBox","","TestAlertBox","TestAlertOK","TestAlertOK()",""
"passed","Fri Jul 15 17:06:21 GMT 2022","Fri Jul 15 17:06:23 GMT 2022","2553","","TestAlertBox","","TestAlertBox","TestAlertCANCEL","TestAlertCANCEL()",""
