"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 18 18:43:54 GMT 2022","Mon Jul 18 18:43:57 GMT 2022","3260","","TestInputForm","","TestInputForm","TestingInputForm","TestingInputForm()",""
"passed","Mon Jul 18 18:43:52 GMT 2022","Mon Jul 18 18:43:54 GMT 2022","2275","","TestRadioButtons","","TestRadioButtons","TestRadio","TestRadio()",""
"passed","Mon Jul 18 18:43:49 GMT 2022","Mon Jul 18 18:43:52 GMT 2022","2279","","TestRadioButtons","","TestRadioButtons","TestGroupRadio","TestGroupRadio()",""
"passed","Mon Jul 18 18:43:47 GMT 2022","Mon Jul 18 18:43:49 GMT 2022","2282","","TestPagination","","TestPagination","TestPaging","TestPaging()",""
"passed","Mon Jul 18 18:43:33 GMT 2022","Mon Jul 18 18:43:35 GMT 2022","2701","","TestSelect","","TestSelect","TestSelectMore","Test Select City","Testing select more options with Ctrl key"
"passed","Mon Jul 18 18:43:38 GMT 2022","Mon Jul 18 18:43:40 GMT 2022","2306","","TestList","","TestList","TestNumberAndTrue","TestNumberAndTrue()",""
"passed","Mon Jul 18 18:43:23 GMT 2022","Mon Jul 18 18:43:27 GMT 2022","3923","","TestInputFields","","TestInputFields","TestSumInvalidNumbers","TestSumInvalidNumbers()",""
"passed","Mon Jul 18 18:43:40 GMT 2022","Mon Jul 18 18:43:42 GMT 2022","2375","","TestNameCards","","TestNameCards","TestNameCard","TestNameCard()",""
"passed","Mon Jul 18 18:43:42 GMT 2022","Mon Jul 18 18:43:45 GMT 2022","2478","","TestAlertBox","","TestAlertBox","TestAlertOK","Alert: OK","Testing OK button on the Alert box"
"passed","Mon Jul 18 18:43:00 GMT 2022","Mon Jul 18 18:43:23 GMT 2022","23267","","TestDownload","","TestDownload","TestDownloadProcess","TestDownloadProcess()",""
"passed","Mon Jul 18 18:43:27 GMT 2022","Mon Jul 18 18:43:30 GMT 2022","3530","","TestInputFields","","TestInputFields","TestSumValidNumbers","TestSumValidNumbers()",""
"passed","Mon Jul 18 18:43:45 GMT 2022","Mon Jul 18 18:43:47 GMT 2022","2214","","TestAlertBox","","TestAlertBox","TestAlertCANCEL","TestAlertCANCEL()",""
"passed","Mon Jul 18 18:43:31 GMT 2022","Mon Jul 18 18:43:33 GMT 2022","2271","","TestSelect","","TestSelect","TestSelectDay","Test Select Day","Testing the ""select dropdown list"" function"
"passed","Mon Jul 18 18:43:35 GMT 2022","Mon Jul 18 18:43:38 GMT 2022","2223","","TestList","","TestList","TestNumber","TestNumber()",""
