"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 25 17:47:00 GMT 2022","Mon Jul 25 17:47:00 GMT 2022","144","","TestAlertBox","","TestAlertBox","TestAlertCANCEL","TestAlertCANCEL()",""
"broken","Mon Jul 25 17:46:59 GMT 2022","Mon Jul 25 17:47:00 GMT 2022","157","","TestAlertBox","","TestAlertBox","TestAlertOK","Alert: OK","Testing OK button on the Alert box"
"broken","Mon Jul 25 17:46:59 GMT 2022","Mon Jul 25 17:46:59 GMT 2022","177","","TestDownloadFile","","TestDownloadFile","TestDownloadFile","TestDownloadFile()",""
"broken","Mon Jul 25 17:46:59 GMT 2022","Mon Jul 25 17:46:59 GMT 2022","150","","TestList","","TestList","TestNumber","TestNumber()",""
"broken","Mon Jul 25 17:46:59 GMT 2022","Mon Jul 25 17:46:59 GMT 2022","144","","TestSelect","","TestSelect","TestSelectMore","Test Select City","Testing select more options with Ctrl key"
"broken","Mon Jul 25 17:46:58 GMT 2022","Mon Jul 25 17:46:58 GMT 2022","219","","TestRadioButtons","","TestRadioButtons","TestGroupRadio","TestGroupRadio()",""
"broken","Mon Jul 25 17:46:59 GMT 2022","Mon Jul 25 17:46:59 GMT 2022","179","","TestList","","TestList","TestNumberAndTrue","TestNumberAndTrue()",""
"broken","Mon Jul 25 17:47:00 GMT 2022","Mon Jul 25 17:47:00 GMT 2022","160","","TestInputFields","","TestInputFields","TestSumValidNumbers","TestSumValidNumbers()",""
"broken","Mon Jul 25 17:46:59 GMT 2022","Mon Jul 25 17:46:59 GMT 2022","171","","TestSelect","","TestSelect","TestSelectDay","Test Select Day","Testing the ""select dropdown list"" function"
"broken","Mon Jul 25 17:47:00 GMT 2022","Mon Jul 25 17:47:00 GMT 2022","143","","TestNameCards","","TestNameCards","TestNameCard","TestNameCard()",""
"broken","Mon Jul 25 17:46:58 GMT 2022","Mon Jul 25 17:46:58 GMT 2022","209","","TestRadioButtons","","TestRadioButtons","TestRadio","TestRadio()",""
"broken","Mon Jul 25 17:47:00 GMT 2022","Mon Jul 25 17:47:00 GMT 2022","159","","TestInputFields","","TestInputFields","TestSumInvalidNumbers","TestSumInvalidNumbers()",""
"broken","Mon Jul 25 17:46:58 GMT 2022","Mon Jul 25 17:46:58 GMT 2022","167","","TestInputForm","","TestInputForm","TestingInputForm","TestingInputForm()",""
"broken","Mon Jul 25 17:46:58 GMT 2022","Mon Jul 25 17:46:59 GMT 2022","184","","TestDownload","","TestDownload","TestDownloadProcess","TestDownloadProcess()",""
"broken","Mon Jul 25 17:46:57 GMT 2022","Mon Jul 25 17:46:58 GMT 2022","878","","TestPagination","","TestPagination","TestPaging","TestPaging()",""
