"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Nov 22 08:50:28 GMT 2022","Tue Nov 22 08:50:28 GMT 2022","173","","TestSlider","","TestSlider","TestSliders","TestSliders()",""
"broken","Tue Nov 22 08:50:29 GMT 2022","Tue Nov 22 08:50:29 GMT 2022","145","","TestPagination","","TestPagination","TestPaging","TestPaging()",""
"broken","Tue Nov 22 08:50:30 GMT 2022","Tue Nov 22 08:50:30 GMT 2022","149","","TestSelect","","TestSelect","TestSelectDay","Test Select Day","Testing the ""select dropdown list"" function"
"broken","Tue Nov 22 08:50:30 GMT 2022","Tue Nov 22 08:50:30 GMT 2022","132","","TestInputFields","","TestInputFields","TestSumValidNumbers","TestSumValidNumbers()",""
"broken","Tue Nov 22 08:50:30 GMT 2022","Tue Nov 22 08:50:31 GMT 2022","185","","TestAlertBox","","TestAlertBox","TestAlertOK","Alert: OK","Testing OK button on the Alert box"
"broken","Tue Nov 22 08:50:29 GMT 2022","Tue Nov 22 08:50:30 GMT 2022","141","","TestInputFields","","TestInputFields","TestSumInvalidNumbers","TestSumInvalidNumbers()",""
"broken","Tue Nov 22 08:50:29 GMT 2022","Tue Nov 22 08:50:29 GMT 2022","139","","TestNameCards","","TestNameCards","TestNameCard","TestNameCard()",""
"broken","Tue Nov 22 08:50:29 GMT 2022","Tue Nov 22 08:50:29 GMT 2022","135","","TestInputFields","","TestInputFields","TestSumRandomNumbers","TestSumRandomNumbers()",""
"broken","Tue Nov 22 08:50:29 GMT 2022","Tue Nov 22 08:50:29 GMT 2022","148","","TestInputFields","","TestInputFields","TestRandomMessages","TestRandomMessages()",""
"broken","Tue Nov 22 08:50:31 GMT 2022","Tue Nov 22 08:50:31 GMT 2022","143","","TestDragAndDrop","","TestDragAndDrop","TestDragDrop","TestDragDrop()",""
"broken","Tue Nov 22 08:50:31 GMT 2022","Tue Nov 22 08:50:31 GMT 2022","135","","TestInputForm","","TestInputForm","TestingInputForm","TestingInputForm()",""
"broken","Tue Nov 22 08:50:30 GMT 2022","Tue Nov 22 08:50:30 GMT 2022","134","","TestList","","TestList","TestNumberAndTrue","TestNumberAndTrue()",""
"broken","Tue Nov 22 08:50:27 GMT 2022","Tue Nov 22 08:50:28 GMT 2022","704","","TestRadioButtons","","TestRadioButtons","TestGroupRadio","TestGroupRadio()",""
"broken","Tue Nov 22 08:50:29 GMT 2022","Tue Nov 22 08:50:29 GMT 2022","136","","TestInputFields","","TestInputFields","TestMessage","TestMessage()",""
"broken","Tue Nov 22 08:50:28 GMT 2022","Tue Nov 22 08:50:28 GMT 2022","294","","TestRadioButtons","","TestRadioButtons","TestRadio","TestRadio()",""
"broken","Tue Nov 22 08:50:30 GMT 2022","Tue Nov 22 08:50:30 GMT 2022","149","","TestDownload","","TestDownload","TestDownloadProcess","TestDownloadProcess()",""
"broken","Tue Nov 22 08:50:31 GMT 2022","Tue Nov 22 08:50:31 GMT 2022","136","","TestAlertBox","","TestAlertBox","TestAlertCANCEL","TestAlertCANCEL()",""
"broken","Tue Nov 22 08:50:28 GMT 2022","Tue Nov 22 08:50:29 GMT 2022","153","","TestDownloadFile","","TestDownloadFile","TestDownloadFile","TestDownloadFile()",""
"broken","Tue Nov 22 08:50:30 GMT 2022","Tue Nov 22 08:50:30 GMT 2022","155","","TestSelect","","TestSelect","TestSelectMore","Test Select City","Testing select more options with Ctrl key"
"broken","Tue Nov 22 08:50:30 GMT 2022","Tue Nov 22 08:50:30 GMT 2022","141","","TestList","","TestList","TestNumber","TestNumber()",""
