"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jul 26 19:41:45 GMT 2022","Tue Jul 26 19:41:45 GMT 2022","144","","TestList","","TestList","TestNumberAndTrue","TestNumberAndTrue()",""
"broken","Tue Jul 26 19:41:45 GMT 2022","Tue Jul 26 19:41:46 GMT 2022","168","","TestNameCards","","TestNameCards","TestNameCard","TestNameCard()",""
"broken","Tue Jul 26 19:41:43 GMT 2022","Tue Jul 26 19:41:44 GMT 2022","145","","TestInputForm","","TestInputForm","TestingInputForm","TestingInputForm()",""
"broken","Tue Jul 26 19:41:44 GMT 2022","Tue Jul 26 19:41:44 GMT 2022","144","","TestDragAndDrop","","TestDragAndDrop","TestDragDrop","TestDragDrop()",""
"broken","Tue Jul 26 19:41:44 GMT 2022","Tue Jul 26 19:41:44 GMT 2022","175","","TestDownloadFile","","TestDownloadFile","TestDownloadFile","TestDownloadFile()",""
"broken","Tue Jul 26 19:41:45 GMT 2022","Tue Jul 26 19:41:45 GMT 2022","144","","TestSelect","","TestSelect","TestSelectMore","Test Select City","Testing select more options with Ctrl key"
"broken","Tue Jul 26 19:41:43 GMT 2022","Tue Jul 26 19:41:43 GMT 2022","283","","TestRadioButtons","","TestRadioButtons","TestGroupRadio","TestGroupRadio()",""
"broken","Tue Jul 26 19:41:44 GMT 2022","Tue Jul 26 19:41:44 GMT 2022","208","","TestSlider","","TestSlider","TestSliders","TestSliders()",""
"broken","Tue Jul 26 19:41:45 GMT 2022","Tue Jul 26 19:41:45 GMT 2022","196","","TestAlertBox","","TestAlertBox","TestAlertCANCEL","TestAlertCANCEL()",""
"broken","Tue Jul 26 19:41:46 GMT 2022","Tue Jul 26 19:41:46 GMT 2022","154","","TestInputFields","","TestInputFields","TestSumInvalidNumbers","TestSumInvalidNumbers()",""
"broken","Tue Jul 26 19:41:45 GMT 2022","Tue Jul 26 19:41:45 GMT 2022","145","","TestList","","TestList","TestNumber","TestNumber()",""
"broken","Tue Jul 26 19:41:45 GMT 2022","Tue Jul 26 19:41:45 GMT 2022","196","","TestAlertBox","","TestAlertBox","TestAlertOK","Alert: OK","Testing OK button on the Alert box"
"broken","Tue Jul 26 19:41:46 GMT 2022","Tue Jul 26 19:41:46 GMT 2022","146","","TestInputFields","","TestInputFields","TestSumValidNumbers","TestSumValidNumbers()",""
"broken","Tue Jul 26 19:41:43 GMT 2022","Tue Jul 26 19:41:43 GMT 2022","159","","TestRadioButtons","","TestRadioButtons","TestRadio","TestRadio()",""
"broken","Tue Jul 26 19:41:44 GMT 2022","Tue Jul 26 19:41:45 GMT 2022","163","","TestSelect","","TestSelect","TestSelectDay","Test Select Day","Testing the ""select dropdown list"" function"
"broken","Tue Jul 26 19:41:42 GMT 2022","Tue Jul 26 19:41:43 GMT 2022","952","","TestPagination","","TestPagination","TestPaging","TestPaging()",""
"broken","Tue Jul 26 19:41:44 GMT 2022","Tue Jul 26 19:41:44 GMT 2022","235","","TestDownload","","TestDownload","TestDownloadProcess","TestDownloadProcess()",""
